epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.148,1.00532,0.9536,1.29933,0.97746,0.97591,0.9913,0.76644,0.7161,0.42938,1.15189,0.000474428,0.000474428,0.000474428
2,310.52,1.00322,0.93859,1.29891,0.93098,0.93688,0.97619,0.73992,0.72921,0.49989,1.15008,0.000903699,0.000903699,0.000903699
3,458.748,1.00655,0.93233,1.29634,0.88411,0.9609,0.94654,0.6406,0.98898,0.57443,1.34138,0.00128581,0.00128581,0.00128581
4,606.719,1.01949,0.93425,1.30589,0.90919,0.90883,0.95868,0.69829,0.7813,0.58975,1.1825,0.00121679,0.00121679,0.00121679
5,756.372,0.99932,0.91802,1.29377,0.9323,0.9675,0.98145,0.7383,0.74691,0.46843,1.17533,0.00114606,0.00114606,0.00114606
6,904.284,0.96291,0.89442,1.27328,0.97842,0.97848,0.99188,0.74501,0.68858,0.41637,1.11189,0.00107532,0.00107532,0.00107532
7,1050.78,0.93867,0.85898,1.25821,0.94683,0.95827,0.98606,0.75129,0.71929,0.43444,1.14196,0.00100459,0.00100459,0.00100459
8,1198.79,0.92814,0.85363,1.25001,0.93125,0.96871,0.97576,0.72661,0.69065,0.43064,1.13529,0.000933851,0.000933851,0.000933851
9,1348.14,0.90518,0.8278,1.23691,0.96508,0.97264,0.98646,0.76393,0.68588,0.39326,1.12531,0.000863116,0.000863116,0.000863116
10,1496.22,0.88405,0.81014,1.22487,0.94813,0.93302,0.96943,0.74412,0.64357,0.37588,1.08604,0.00079238,0.00079238,0.00079238
11,1641.99,0.65461,0.4403,1.10904,0.9652,0.96187,0.98578,0.78371,0.59726,0.40629,1.05154,0.000721645,0.000721645,0.000721645
12,1783.11,0.63614,0.42163,1.09761,0.96169,0.98697,0.98619,0.80365,0.58255,0.36454,1.03299,0.000650909,0.000650909,0.000650909
13,1923.87,0.61502,0.40787,1.08538,0.96174,0.99172,0.98922,0.80828,0.55526,0.34849,1.01618,0.000580174,0.000580174,0.000580174
14,2063.04,0.59281,0.38906,1.06904,0.9782,0.98638,0.99096,0.79925,0.56296,0.33825,1.02985,0.000509438,0.000509438,0.000509438
15,2200.31,0.57822,0.37593,1.05848,0.98023,0.99605,0.99403,0.82347,0.54583,0.32385,1.01466,0.000438703,0.000438703,0.000438703
16,2338.02,0.55394,0.36588,1.04317,0.9832,0.98941,0.99417,0.84556,0.50537,0.31597,0.98764,0.000367967,0.000367967,0.000367967
17,2475.91,0.5348,0.35096,1.02972,0.98629,0.9957,0.99476,0.83505,0.50248,0.30411,0.98051,0.000297232,0.000297232,0.000297232
18,2615,0.51398,0.34275,1.01753,0.99571,0.99473,0.99491,0.84632,0.48472,0.29514,0.9696,0.000226497,0.000226497,0.000226497
19,2753.62,0.50009,0.33186,1.00452,0.99603,0.99918,0.99488,0.84986,0.4726,0.29055,0.9596,0.000155761,0.000155761,0.000155761
20,2892.7,0.48529,0.32491,0.99753,0.99017,0.99863,0.99471,0.85992,0.462,0.28586,0.95692,8.50255e-05,8.50255e-05,8.50255e-05
