epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.581,1.13054,1.08338,1.3864,0.94576,0.97805,0.98448,0.74308,0.83734,0.56048,1.22745,0.000474428,0.000474428,0.000474428
2,300.081,1.09503,1.01085,1.35764,0.9507,0.97309,0.98176,0.73208,0.85443,0.57492,1.23902,0.000903699,0.000903699,0.000903699
3,443.974,1.09543,1.00408,1.35307,0.94298,0.96378,0.98164,0.72102,0.87296,0.5914,1.28431,0.00128581,0.00128581,0.00128581
4,587.949,1.09345,1.01191,1.35677,0.96954,0.98739,0.99099,0.76085,0.84905,0.53132,1.22677,0.00121679,0.00121679,0.00121679
5,731.28,1.05595,0.98337,1.33519,0.94346,0.97125,0.98738,0.74398,0.863,0.54386,1.27145,0.00114606,0.00114606,0.00114606
6,877.148,1.03468,0.95849,1.32143,0.95131,0.97652,0.98192,0.76136,0.79501,0.53468,1.20282,0.00107532,0.00107532,0.00107532
7,1022.68,0.99483,0.91621,1.29115,0.96785,0.9833,0.98945,0.78029,0.79137,0.50302,1.18458,0.00100459,0.00100459,0.00100459
8,1167.6,0.98559,0.90554,1.28892,0.98038,0.9853,0.99119,0.78449,0.78871,0.47162,1.1758,0.000933851,0.000933851,0.000933851
9,1312.56,0.95839,0.87052,1.26935,0.97828,0.98198,0.99089,0.81124,0.71865,0.46141,1.14013,0.000863116,0.000863116,0.000863116
10,1457.96,0.93606,0.85621,1.25721,0.98264,0.99078,0.99093,0.81595,0.69077,0.44635,1.11961,0.00079238,0.00079238,0.00079238
11,1599.69,0.71956,0.48428,1.16436,0.98732,0.99107,0.99267,0.8265,0.67703,0.42898,1.09318,0.000721645,0.000721645,0.000721645
12,1738.22,0.6883,0.46588,1.13894,0.96965,0.98212,0.98739,0.84089,0.62565,0.42638,1.06407,0.000650909,0.000650909,0.000650909
13,1873.96,0.66154,0.44931,1.12263,0.98145,0.98993,0.99075,0.85076,0.60478,0.40436,1.04931,0.000580174,0.000580174,0.000580174
14,2011.07,0.64646,0.429,1.11468,0.98144,0.99169,0.99365,0.84163,0.63724,0.40196,1.07076,0.000509438,0.000509438,0.000509438
15,2148.17,0.62523,0.42195,1.09248,0.9892,0.99294,0.99338,0.84855,0.61223,0.38928,1.05529,0.000438703,0.000438703,0.000438703
16,2285.06,0.60541,0.40098,1.07725,0.98872,0.99315,0.99384,0.86723,0.58602,0.35943,1.03378,0.000367967,0.000367967,0.000367967
17,2422.57,0.58378,0.39226,1.06733,0.98868,0.99617,0.99422,0.87494,0.56107,0.3524,1.01259,0.000297232,0.000297232,0.000297232
18,2559.3,0.56825,0.38292,1.05568,0.99447,0.99795,0.9943,0.88466,0.53545,0.34258,0.99738,0.000226497,0.000226497,0.000226497
19,2693.95,0.54356,0.37304,1.04131,0.99445,0.99757,0.99459,0.88568,0.54215,0.33818,0.99937,0.000155761,0.000155761,0.000155761
20,2830.48,0.52983,0.36266,1.02961,0.99445,0.99757,0.99442,0.88827,0.53069,0.33042,0.99794,8.50255e-05,8.50255e-05,8.50255e-05
