epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.507,1.55065,1.80187,1.68195,1,0.79368,0.89677,0.70034,2.0532,2.22417,2.5967,0.000470226,0.000470226,0.000470226
2,222.294,1.47044,1.70377,1.61035,1,0.92265,0.96009,0.776,1.4715,1.50195,1.73081,0.000899705,0.000899705,0.000899705
3,337.412,1.4799,1.66521,1.63399,1,0.99561,0.9942,0.81245,1.64093,1.58449,1.93915,0.00128203,0.00128203,0.00128203
4,453.978,1.47678,1.66271,1.6203,0.79602,0.82461,0.92748,0.66595,1.53613,1.43861,1.80051,0.00121679,0.00121679,0.00121679
5,570.708,1.41624,1.59458,1.59018,0.91481,0.87417,0.97231,0.72726,1.33351,1.24478,1.64197,0.00114606,0.00114606,0.00114606
6,692.683,1.36941,1.52941,1.54231,0.91946,0.91904,0.96604,0.73706,1.24588,1.11475,1.52462,0.00107532,0.00107532,0.00107532
7,806.057,1.33638,1.49374,1.53181,0.90285,0.89497,0.95174,0.73313,1.16593,1.27882,1.49255,0.00100459,0.00100459,0.00100459
8,925.389,1.31863,1.46136,1.50769,0.78484,0.76301,0.88121,0.50588,1.14212,1.2464,1.45817,0.000933851,0.000933851,0.000933851
9,1044.36,1.28113,1.43202,1.50629,0.88486,0.87725,0.92942,0.51544,1.25472,1.06174,1.5669,0.000863116,0.000863116,0.000863116
10,1158.6,1.24811,1.38101,1.48274,0.92095,0.95003,0.96792,0.75736,1.05801,0.98711,1.37795,0.00079238,0.00079238,0.00079238
11,1270.97,1.03015,1.05739,1.39462,0.92078,0.94451,0.97037,0.54054,1.06029,1.00875,1.383,0.000721645,0.000721645,0.000721645
12,1385.82,1.01849,0.99116,1.40151,0.87802,0.94682,0.96149,0.58609,1.03505,1.0018,1.35882,0.000650909,0.000650909,0.000650909
13,1513.72,0.96541,0.97599,1.3466,0.89169,0.88773,0.92823,0.60148,0.95212,1.02156,1.30776,0.000580174,0.000580174,0.000580174
14,1658.68,0.92656,0.94172,1.32017,0.92591,0.93922,0.974,0.59778,1.00856,0.94547,1.35234,0.000509438,0.000509438,0.000509438
15,1786.15,0.92652,0.88554,1.3137,0.88194,0.95173,0.96458,0.65519,0.92098,0.88673,1.26618,0.000438703,0.000438703,0.000438703
16,1912.92,0.88587,0.87803,1.28636,0.91277,0.92537,0.97939,0.67209,0.89707,0.8827,1.2558,0.000367967,0.000367967,0.000367967
17,2052.82,0.86232,0.83737,1.26632,0.93527,0.93191,0.97,0.64378,0.91268,0.85974,1.26771,0.000297232,0.000297232,0.000297232
18,2191.55,0.86815,0.81607,1.28564,0.91957,0.9102,0.97451,0.68055,0.87529,0.87944,1.23205,0.000226497,0.000226497,0.000226497
19,2314.94,0.82617,0.79625,1.23305,0.94939,0.98674,0.98644,0.68205,0.88354,0.81065,1.23926,0.000155761,0.000155761,0.000155761
20,2452.62,0.82489,0.77196,1.24037,0.96958,0.97003,0.98778,0.67452,0.89811,0.80273,1.2544,8.50255e-05,8.50255e-05,8.50255e-05
