epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.2493,1.42377,1.64684,1.62813,0.92689,0.91943,0.93837,0.655,1.01531,0.79629,1.37941,0.000472523,0.000472523,0.000472523
2,171.456,1.26532,1.29593,1.49922,0.94191,0.94834,0.96078,0.67544,1.00329,0.70068,1.37398,0.000901888,0.000901888,0.000901888
3,248.224,1.26272,1.28135,1.49356,0.91402,0.9567,0.95655,0.65578,1.06224,0.7566,1.45779,0.0012841,0.0012841,0.0012841
4,326.643,1.26308,1.26852,1.49554,0.86762,0.94229,0.93276,0.5825,1.1935,0.91095,1.53484,0.00121679,0.00121679,0.00121679
5,403.308,1.20624,1.20629,1.45271,0.89478,0.89052,0.9013,0.64725,0.98199,0.79107,1.37073,0.00114606,0.00114606,0.00114606
6,480.237,1.21984,1.20849,1.4546,0.95316,0.92435,0.948,0.64978,1.08859,0.71346,1.47618,0.00107532,0.00107532,0.00107532
7,556.28,1.17889,1.16721,1.44112,0.94708,0.91823,0.94714,0.68626,0.93972,0.68982,1.35476,0.00100459,0.00100459,0.00100459
8,633.559,1.15804,1.12919,1.41582,0.89681,0.86171,0.88291,0.63343,0.9579,0.804,1.34481,0.000933851,0.000933851,0.000933851
9,710.03,1.14282,1.12179,1.40805,0.93643,0.93745,0.95747,0.72777,0.88854,0.655,1.28429,0.000863116,0.000863116,0.000863116
10,785.954,1.11596,1.08764,1.39849,0.91989,0.92422,0.93152,0.73027,0.83488,0.63593,1.24607,0.00079238,0.00079238,0.00079238
11,865.501,0.88929,0.65997,1.31823,0.96489,0.97672,0.9817,0.74947,0.89486,0.5719,1.28423,0.000721645,0.000721645,0.000721645
12,938.764,0.84363,0.61823,1.29008,0.97497,0.98077,0.98543,0.76228,0.86526,0.57257,1.26799,0.000650909,0.000650909,0.000650909
13,1010.46,0.81809,0.57731,1.25702,0.97139,0.97809,0.98224,0.78224,0.79511,0.52174,1.21573,0.000580174,0.000580174,0.000580174
14,1083.09,0.80413,0.56414,1.24983,0.95242,0.95911,0.96339,0.76785,0.79484,0.5625,1.21155,0.000509438,0.000509438,0.000509438
15,1155.12,0.7681,0.5484,1.22193,0.92871,0.93023,0.94388,0.76933,0.75219,0.58868,1.19151,0.000438703,0.000438703,0.000438703
16,1227.88,0.74195,0.52218,1.19464,0.98722,0.98797,0.98928,0.81662,0.72537,0.46271,1.15058,0.000367967,0.000367967,0.000367967
17,1299.96,0.71167,0.50186,1.18353,0.97978,0.98797,0.99162,0.81998,0.70968,0.45081,1.15307,0.000297232,0.000297232,0.000297232
18,1372.78,0.69572,0.49318,1.17173,0.98485,0.99398,0.99113,0.83545,0.67434,0.43244,1.11853,0.000226497,0.000226497,0.000226497
19,1444.91,0.67512,0.47643,1.15331,0.98492,0.99278,0.9929,0.83934,0.66619,0.42752,1.10868,0.000155761,0.000155761,0.000155761
20,1516.97,0.64842,0.45208,1.12997,0.98666,0.99398,0.99353,0.84941,0.63865,0.40494,1.08868,8.50255e-05,8.50255e-05,8.50255e-05
